6435,863,10-20M,255,0,0,25
6449,907,1-5M,0,255,33,25
6352,933,1-5M,0,255,33,28
6475,957,1-5M,0,255,33,25
7021,961,1-5M,0,255,33,25
6431,995,1-5M,0,255,33,25
6344,1010,1-5M,0,255,33,25
6355,1027,1-5M,0,255,33,25
6510,1028,1-5M,0,255,33,25
3775,1048,1-5M,0,255,33,25
6358,1066,1-5M,0,255,33,25
4961,1071,1-5M,0,255,33,25
3806,1081,1-5M,0,255,33,29
3704,1093,1-5M,0,255,33,25
6540,1094,5-10M,255,216,0,25
6480,1098,1-5M,0,255,33,30
6583,1098,10-20M,255,0,0,25
3857,1116,1-5M,0,255,33,30
6808,1126,1-5M,0,255,33,27
6278,1128,1-5M,0,255,33,25
6583,1138,1-5M,0,255,33,25
3782,1146,1-5M,0,255,33,28
4023,1158,1-5M,0,255,33,25
6662,1163,1-5M,0,255,33,25
6220,1170,1-5M,0,255,33,30
3430,1188,1-5M,0,255,33,25
3579,1191,1-5M,0,255,33,25
3736,1192,5-10M,255,216,0,25
2789,1203,1-5M,0,255,33,25
3941,1203,10-20M,255,0,0,25
3640,1207,1-5M,0,255,33,25
3932,1206,10-20M,255,0,0,8
3925,1210,5-10M,255,216,0,25
3876,1218,1-5M,0,255,33,29
3233,1219,1-5M,0,255,33,25
7802,1230,1-5M,0,255,33,30
3946,1232,1-5M,0,255,33,25
3765,1240,1-5M,0,255,33,25
3840,1250,1-5M,0,255,33,30
6371,1250,1-5M,0,255,33,30
6581,1250,1-5M,0,255,33,30
3259,1254,1-5M,0,255,33,25
3474,1255,1-5M,0,255,33,25
4947,1255,1-5M,0,255,33,25
3095,1256,5-10M,255,216,0,25
3746,1260,1-5M,0,255,33,26
2744,1261,1-5M,0,255,33,25
3718,1270,5-10M,255,216,0,28
6124,1272,1-5M,0,255,33,30
3662,1277,1-5M,0,255,33,25
4379,1277,1-5M,0,255,33,25
3414,1285,1-5M,0,255,33,29
3899,1292,10-20M,255,0,0,25
6460,1294,1-5M,0,255,33,25
3565,1298,5-10M,255,216,0,25
3148,1301,1-5M,0,255,33,25
3732,1301,1-5M,0,255,33,25
2943,1302,1-5M,0,255,33,25
4704,1303,1-5M,0,255,33,29
3374,1312,1-5M,0,255,33,25
4498,1315,1-5M,0,255,33,25
6247,1316,1-5M,0,255,33,25
3113,1318,1-5M,0,255,33,25
7785,1320,1-5M,0,255,33,25
4610,1329,1-5M,0,255,33,25
3871,1334,1-5M,0,255,33,25
4848,1336,1-5M,0,255,33,25
6195,1336,5-10M,255,216,0,25
3565,1342,1-5M,0,255,33,25
6129,1358,1-5M,0,255,33,25
2912,1362,1-5M,0,255,33,32
2229,1366,1-5M,0,255,33,25
3749,1369,1-5M,0,255,33,25
4872,1370,1-5M,0,255,33,25
